stop_id;stop_name;lat;long;fixed_stop;stop_order;pos_x;pos_y;utm_zone_number;utm_zone_letter;node_index;distance_to_node
1;Neuperlach Zentrum Start;48.10098539857649;11.647976125512743;True;0;697133.7983557701;5330916.237350902;32;U;2333;34.443533632129196
2;Fritz-Schäffer-Strasse;48.10358044301587;11.64858759304493;False;1;697169.3863333811;5331206.204968374;32;U;2723;1.4437032830713576
3;Jakob-Kaiser-Strasse;48.10437084652256;11.640073926542591;False;2;696532.6348934792;5331272.259958349;32;U;2967;8.421815345489529
4;Putzbrunner Strasse 60;48.0976456;11.6418779;False;3;696692.5859134106;5330529.45929397;32;U;1710;0.00030824384568825785
5;Therese-Giehse-Allee U-Bahn;48.0958679256;11.6435817712;False;4;696826.2217069312;5330336.255049515;32;U;2725;24.70628282406767
6;Therese-Giehse-Allee / Fritz-Kortner-Bogen;48.09344789361331;11.642324044078892;False;5;696741.8232285852;5330064.087742357;32;U;1836;10.880299361227136
7;Carl-Wery-Strasse;48.0940619;11.6452058;False;6;696954.0300236861;5330139.698517638;32;U;585;2.417206606412059
8;Otto-Hahn-Ring / Carl-Wery-Strasse;48.09215565651125;11.645847586860084;False;7;697009.0978977819;5329929.491339026;32;U;907;3.6357250082426167
9;Otto-Hahn-Ring;48.09213181796856;11.649090778871612;False;8;697250.6579133212;5329935.151664381;32;U;1641;19.885446105183465
10;Heidestrasse / Otto-Hahn-Ring;48.09157897125918;11.654462226461431;False;9;697652.7039176143;5329887.496113333;32;U;2487;11.135515412491252
11;Heidestrasse / Putzbrunnerstrasse;48.09304868845625;11.65582523608138;False;10;697748.5479173403;5330054.33535242;32;U;2523;54.15702072822385
12;Tribulaunstrasse;48.0943104817533;11.653349471575453;False;11;697559.383993867;5330188.204250135;32;U;1606;15.790090143826323
13;Putzbrunner Strasse / Plievierpark;48.0955508470791;11.649578433305946;False;12;697273.879033633;5330316.375641246;32;U;2934;20.449530488275435
14;Putzbrunner Strasse;48.09661948561119;11.646803098035514;False;13;697063.171519808;5330428.026060139;32;U;1337;17.53672308764478
15;Kafkastrasse;48.09847142143036;11.648842330099642;False;14;697207.9004942313;5330639.0664556185;32;U;2154;19.9373780795383
16;Sudermannallee;48.09758919634472;11.652610518854354;False;15;697491.803831616;5330550.686797071;32;U;2093;11.11560156778297
17;Klinikum Neuperlach;48.09650694701106;11.65567547191694;True;16;697724.129981712;5330438.283678576;32;U;1364;30.408192516915708
18;Oskar-Maria-Graf-Ring;48.0987683559627;11.657304815619746;False;17;697836.7492712148;5330693.794053083;32;U;1672;134.3025010558753
19;Franz-Heubl-Strasse;48.10169996810938;11.659076646253537;False;18;697957.3896683848;5331024.156679375;32;U;227;277.6479062692215
20;Franz-Heubl-Strasse / Hippelstrasse;48.1022040605502;11.664954977033158;False;19;698393.0325804551;5331095.322569612;32;U;2064;706.2930520573476
21;Am Hochacker;48.10575396418401;11.667588218821638;False;20;698575.3671708674;5331496.635412136;32;U;2064;921.602634241156
22;Feldbergstrasse;48.1084889671889;11.663985584124918;False;21;698296.6799584695;5331791.295974173;32;U;1362;633.7610176218805
23;Himalajastrasse;48.11214375101383;11.666278651449844;False;22;698453.272611931;5332203.384647087;32;U;1362;858.242930524791
24;Alois-Hahn-Weg;48.10500309462725;11.661660098975052;False;23;698136.9995756678;5331397.900888016;32;U;2064;475.55455280079894
25;Hugo-Lang-Bogen;48.1035263561082;11.659548339425193;False;24;697985.4845627842;5331228.346221626;32;U;2064;288.44606267233144
26;Friedrich-Engels-Bogen;48.10646745444067;11.659135320741886;False;25;697943.4404244847;5331554.142345005;32;U;2862;368.08058904005213
27;Kurt-Eisner-Strasse / Friedrich-Engels-Bogen;48.1035412842895;11.656038917482585;False;27;697724.1945425322;5331220.978797199;32;U;2064;27.244510859818394
28;Kurt-Eisner-Strasse / Max-Kolmsperger-Strasse;48.1069227031824;11.652963968860726;False;28;697482.3412631871;5331588.873940939;32;U;171;15.302239593129514
29;Karl-Marx-Ring;48.10920529218448;11.649340934782652;False;29;697203.9311079745;5331833.254610701;32;U;514;20.279494598871096
30;Quiddestrasse U-Bahn;48.10922005624068;11.64687183023664;True;30;697020.100704263;5331828.568025848;32;U;504;16.188782672675536
31;Corinthstrasse;48.11229245559081;11.64941089009883;False;31;697197.318946316;5332176.526530214;32;U;2305;346.46817320211176
32;Matterhornstrasse;48.114829330370114;11.652532960700428;False;32;697419.9546851271;5332466.47195615;32;U;1098;606.6740496732787
33;Heinrich-Wieland-Strasse / Zehntfeldstrasse;48.11487160704823;11.644304421820696;False;33;696807.4150036839;5332450.081680336;32;U;1751;616.9997540771341
34;Heinrich-Wieland-Strasse / Sarah-Sonja-Lehrch-Weg;48.10802951116392;11.64975421881397;False;34;697239.1933720241;5331703.643647728;32;U;2875;12.062288450763546
35;Siegfried-Mollier-Strasse;48.10666589853904;11.646506728242882;False;35;697002.6935610749;5331543.776083724;32;U;1912;14.22069302422909
