"bus_id","stop_id","departure_time","stop_name","route-id"
"1","1","30","Neuperlach Zentrum Start","1"
"1","17","630","Klinikum Neuperlach","1"
"1","30","1230","Quiddestrasse U-Bahn","1"
"1","46","1740","Neuperlach Zentrum Ende","1"
"1","1","1830","Neuperlach Zentrum Start","2"
"1","17","2430","Klinikum Neuperlach","2"
"1","30","3030","Quiddestrasse U-Bahn","2"
"1","46","3540","Neuperlach Zentrum Ende","2"
"1","1","3630","Neuperlach Zentrum Start","3"
"1","17","4230","Klinikum Neuperlach","3"
"1","30","4830","Quiddestrasse U-Bahn","3"
"1","46","5340","Neuperlach Zentrum Ende","3"
"1","1","5430","Neuperlach Zentrum Start","4"
"1","17","6030","Klinikum Neuperlach","4"
"1","30","6630","Quiddestrasse U-Bahn","4"
"1","46","7140","Neuperlach Zentrum Ende","4"
"1","1","7230","Neuperlach Zentrum Start","5"
"1","17","7830","Klinikum Neuperlach","5"
"1","30","8430","Quiddestrasse U-Bahn","5"
"1","46","8940","Neuperlach Zentrum Ende","5"
"1","1","9030","Neuperlach Zentrum Start","6"
"1","17","9630","Klinikum Neuperlach","6"
"1","30","10230","Quiddestrasse U-Bahn","6"
"1","46","10740","Neuperlach Zentrum Ende","6"
"1","1","10830","Neuperlach Zentrum Start","7"
"1","17","11430","Klinikum Neuperlach","7"
"1","30","12030","Quiddestrasse U-Bahn","7"
"1","46","12540","Neuperlach Zentrum Ende","7"
"1","1","12630","Neuperlach Zentrum Start","8"
"1","17","13230","Klinikum Neuperlach","8"
"1","30","13830","Quiddestrasse U-Bahn","8"
"1","46","14340","Neuperlach Zentrum Ende","8"
"1","1","14430","Neuperlach Zentrum Start","9"
"1","17","15030","Klinikum Neuperlach","9"
"1","30","15630","Quiddestrasse U-Bahn","9"
"1","46","16140","Neuperlach Zentrum Ende","9"
"1","1","16230","Neuperlach Zentrum Start","10"
"1","17","16830","Klinikum Neuperlach","10"
"1","30","17430","Quiddestrasse U-Bahn","10"
"1","46","17940","Neuperlach Zentrum Ende","10"
"1","1","18030","Neuperlach Zentrum Start","11"
"1","17","18630","Klinikum Neuperlach","11"
"1","30","19230","Quiddestrasse U-Bahn","11"
"1","46","19740","Neuperlach Zentrum Ende","11"
"1","1","19830","Neuperlach Zentrum Start","12"
"1","17","20430","Klinikum Neuperlach","12"
"1","30","21030","Quiddestrasse U-Bahn","12"
"1","46","21540","Neuperlach Zentrum Ende","12"
"1","1","21630","Neuperlach Zentrum Start","13"
"1","17","22230","Klinikum Neuperlach","13"
"1","30","22830","Quiddestrasse U-Bahn","13"
"1","46","23340","Neuperlach Zentrum Ende","13"
"1","1","23430","Neuperlach Zentrum Start","14"
"1","17","24030","Klinikum Neuperlach","14"
"1","30","24630","Quiddestrasse U-Bahn","14"
"1","46","25140","Neuperlach Zentrum Ende","14"
"1","1","25230","Neuperlach Zentrum Start","15"
"1","17","25830","Klinikum Neuperlach","15"
"1","30","26430","Quiddestrasse U-Bahn","15"
"1","46","26940","Neuperlach Zentrum Ende","15"
"1","1","27030","Neuperlach Zentrum Start","16"
"1","17","27630","Klinikum Neuperlach","16"
"1","30","28230","Quiddestrasse U-Bahn","16"
"1","46","28740","Neuperlach Zentrum Ende","16"
"1","1","28830","Neuperlach Zentrum Start","17"
"1","17","29430","Klinikum Neuperlach","17"
"1","30","30030","Quiddestrasse U-Bahn","17"
"1","46","30540","Neuperlach Zentrum Ende","17"
"1","1","30630","Neuperlach Zentrum Start","18"
"1","17","31230","Klinikum Neuperlach","18"
"1","30","31830","Quiddestrasse U-Bahn","18"
"1","46","32340","Neuperlach Zentrum Ende","18"
"1","1","32430","Neuperlach Zentrum Start","19"
"1","17","33030","Klinikum Neuperlach","19"
"1","30","33630","Quiddestrasse U-Bahn","19"
"1","46","34140","Neuperlach Zentrum Ende","19"
"1","1","34230","Neuperlach Zentrum Start","20"
"1","17","34830","Klinikum Neuperlach","20"
"1","30","35430","Quiddestrasse U-Bahn","20"
"1","46","35940","Neuperlach Zentrum Ende","20"
