runId;iteration;poolingRate;sharingFactor;nPooled;nTotal
NA;0;NaN;NaN;0.0;0.0
NA;1;NaN;NaN;0.0;0.0
NA;2;NaN;NaN;0.0;0.0
NA;3;NaN;NaN;0.0;0.0
NA;4;NaN;NaN;0.0;0.0
NA;5;NaN;NaN;0.0;0.0
NA;6;NaN;NaN;0.0;0.0
NA;7;NaN;NaN;0.0;0.0
NA;8;NaN;NaN;0.0;0.0
NA;9;NaN;NaN;0.0;0.0
NA;10;NaN;NaN;0.0;0.0
NA;11;NaN;NaN;0.0;0.0
NA;12;NaN;NaN;0.0;0.0
NA;13;NaN;NaN;0.0;0.0
NA;14;NaN;NaN;0.0;0.0
NA;15;NaN;NaN;0.0;0.0
NA;16;NaN;NaN;0.0;0.0
NA;17;NaN;NaN;0.0;0.0
NA;18;NaN;NaN;0.0;0.0
NA;19;NaN;NaN;0.0;0.0
NA;20;NaN;NaN;0.0;0.0
NA;21;NaN;NaN;0.0;0.0
NA;22;NaN;NaN;0.0;0.0
NA;23;NaN;NaN;0.0;0.0
NA;24;NaN;NaN;0.0;0.0
NA;25;NaN;NaN;0.0;0.0
NA;26;NaN;NaN;0.0;0.0
NA;27;NaN;NaN;0.0;0.0
NA;28;NaN;NaN;0.0;0.0
NA;29;NaN;NaN;0.0;0.0
NA;30;NaN;NaN;0.0;0.0
NA;31;NaN;NaN;0.0;0.0
NA;32;NaN;NaN;0.0;0.0
NA;33;NaN;NaN;0.0;0.0
NA;34;NaN;NaN;0.0;0.0
NA;35;NaN;NaN;0.0;0.0
NA;36;NaN;NaN;0.0;0.0
NA;37;NaN;NaN;0.0;0.0
NA;38;NaN;NaN;0.0;0.0
NA;39;NaN;NaN;0.0;0.0
NA;40;NaN;NaN;0.0;0.0
NA;41;NaN;NaN;0.0;0.0
NA;42;NaN;NaN;0.0;0.0
NA;43;NaN;NaN;0.0;0.0
NA;44;NaN;NaN;0.0;0.0
NA;45;NaN;NaN;0.0;0.0
NA;46;NaN;NaN;0.0;0.0
NA;47;NaN;NaN;0.0;0.0
NA;48;NaN;NaN;0.0;0.0
NA;49;NaN;NaN;0.0;0.0
NA;50;NaN;NaN;0.0;0.0
