runId;iteration;vehicles;totalServiceDuration;totalDistance;totalEmptyDistance;emptyRatio;totalPassengerDistanceTraveled;averageDrivenDistance;averageEmptyDistance;averagePassengerDistanceTraveled;d_p/d_t;l_det;minShareIdleVehicles;minCountIdleVehicles
NA;0;1;86400;0;0;NaN;0;0;0;0;NaN;NaN;1;1
NA;1;1;86400;0;0;NaN;0;0;0;0;NaN;NaN;1;1
NA;2;1;86400;0;0;NaN;0;0;0;0;NaN;NaN;1;1
NA;3;1;86400;0;0;NaN;0;0;0;0;NaN;NaN;1;1
NA;4;1;86400;0;0;NaN;0;0;0;0;NaN;NaN;1;1
NA;5;1;86400;0;0;NaN;0;0;0;0;NaN;NaN;1;1
NA;6;1;86400;0;0;NaN;0;0;0;0;NaN;NaN;1;1
NA;7;1;86400;0;0;NaN;0;0;0;0;NaN;NaN;1;1
NA;8;1;86400;0;0;NaN;0;0;0;0;NaN;NaN;1;1
NA;9;1;86400;0;0;NaN;0;0;0;0;NaN;NaN;1;1
NA;10;1;86400;0;0;NaN;0;0;0;0;NaN;NaN;1;1
NA;11;1;86400;0;0;NaN;0;0;0;0;NaN;NaN;1;1
NA;12;1;86400;0;0;NaN;0;0;0;0;NaN;NaN;1;1
NA;13;1;86400;0;0;NaN;0;0;0;0;NaN;NaN;1;1
NA;14;1;86400;0;0;NaN;0;0;0;0;NaN;NaN;1;1
NA;15;1;86400;0;0;NaN;0;0;0;0;NaN;NaN;1;1
NA;16;1;86400;0;0;NaN;0;0;0;0;NaN;NaN;1;1
NA;17;1;86400;0;0;NaN;0;0;0;0;NaN;NaN;1;1
NA;18;1;86400;0;0;NaN;0;0;0;0;NaN;NaN;1;1
NA;19;1;86400;0;0;NaN;0;0;0;0;NaN;NaN;1;1
NA;20;1;86400;0;0;NaN;0;0;0;0;NaN;NaN;1;1
NA;21;1;86400;0;0;NaN;0;0;0;0;NaN;NaN;1;1
NA;22;1;86400;0;0;NaN;0;0;0;0;NaN;NaN;1;1
NA;23;1;86400;0;0;NaN;0;0;0;0;NaN;NaN;1;1
NA;24;1;86400;0;0;NaN;0;0;0;0;NaN;NaN;1;1
NA;25;1;86400;0;0;NaN;0;0;0;0;NaN;NaN;1;1
NA;26;1;86400;0;0;NaN;0;0;0;0;NaN;NaN;1;1
NA;27;1;86400;0;0;NaN;0;0;0;0;NaN;NaN;1;1
NA;28;1;86400;0;0;NaN;0;0;0;0;NaN;NaN;1;1
NA;29;1;86400;0;0;NaN;0;0;0;0;NaN;NaN;1;1
NA;30;1;86400;0;0;NaN;0;0;0;0;NaN;NaN;1;1
NA;31;1;86400;0;0;NaN;0;0;0;0;NaN;NaN;1;1
NA;32;1;86400;0;0;NaN;0;0;0;0;NaN;NaN;1;1
NA;33;1;86400;0;0;NaN;0;0;0;0;NaN;NaN;1;1
NA;34;1;86400;0;0;NaN;0;0;0;0;NaN;NaN;1;1
NA;35;1;86400;0;0;NaN;0;0;0;0;NaN;NaN;1;1
NA;36;1;86400;0;0;NaN;0;0;0;0;NaN;NaN;1;1
NA;37;1;86400;0;0;NaN;0;0;0;0;NaN;NaN;1;1
NA;38;1;86400;0;0;NaN;0;0;0;0;NaN;NaN;1;1
NA;39;1;86400;0;0;NaN;0;0;0;0;NaN;NaN;1;1
NA;40;1;86400;0;0;NaN;0;0;0;0;NaN;NaN;1;1
NA;41;1;86400;0;0;NaN;0;0;0;0;NaN;NaN;1;1
NA;42;1;86400;0;0;NaN;0;0;0;0;NaN;NaN;1;1
NA;43;1;86400;0;0;NaN;0;0;0;0;NaN;NaN;1;1
NA;44;1;86400;0;0;NaN;0;0;0;0;NaN;NaN;1;1
NA;45;1;86400;0;0;NaN;0;0;0;0;NaN;NaN;1;1
NA;46;1;86400;0;0;NaN;0;0;0;0;NaN;NaN;1;1
NA;47;1;86400;0;0;NaN;0;0;0;0;NaN;NaN;1;1
NA;48;1;86400;0;0;NaN;0;0;0;0;NaN;NaN;1;1
NA;49;1;86400;0;0;NaN;0;0;0;0;NaN;NaN;1;1
NA;50;1;86400;0;0;NaN;0;0;0;0;NaN;NaN;1;1
