person_id;operator_id;main_mode;vehicle_id;origin_link_id;origin_x;origin_y;destination_link_id;destination_x;destination_y;departure_time;arrival_time;waiting_time;distance
194983;drt;drt;NaN;6762;709957.5809657408;5372445.707494065;null;NaN;NaN;251.0;NaN;NaN;0.0
115638;drt;drt;NaN;6091;717836.7699035951;5370416.092622109;null;NaN;NaN;441.0;NaN;NaN;0.0
173052;drt;drt;NaN;62980;734434.3036507283;5352835.3444602005;null;NaN;NaN;9416.0;NaN;NaN;0.0
208990;drt;drt;NaN;2268;708212.5073294186;5344424.291255498;null;NaN;NaN;10704.0;NaN;NaN;0.0
227916;drt;drt;NaN;73239;711689.58947006;5373706.968402563;null;NaN;NaN;10967.0;NaN;NaN;0.0
304088;drt;drt;NaN;79171;718723.6329782485;5342482.156445967;null;NaN;NaN;12845.0;NaN;NaN;0.0
244436;drt;drt;NaN;40069;724324.8149006346;5344809.527096986;null;NaN;NaN;13362.0;NaN;NaN;0.0
127552;drt;drt;NaN;34340;702330.410673702;5364536.814573998;null;NaN;NaN;13481.0;NaN;NaN;0.0
265599;drt;drt;NaN;2497;722262.2295457259;5354760.930716658;null;NaN;NaN;13571.0;NaN;NaN;0.0
70379;drt;drt;NaN;79247;722967.0992196032;5344859.660225446;null;NaN;NaN;13727.0;NaN;NaN;0.0
270125;drt;drt;NaN;60257;728602.3923386558;5340049.349431226;null;NaN;NaN;13884.0;NaN;NaN;0.0
234451;drt;drt;NaN;81073;682223.4873692383;5376417.2580593405;null;NaN;NaN;14076.0;NaN;NaN;0.0
204304;drt;drt;NaN;49144;681745.6582794953;5392631.1489666505;null;NaN;NaN;14181.0;NaN;NaN;0.0
119696;drt;drt;NaN;31234;732551.1045168242;5345001.070204764;null;NaN;NaN;14368.0;NaN;NaN;0.0
272525;drt;drt;NaN;68452;722056.5290024076;5348263.257567665;null;NaN;NaN;14389.0;NaN;NaN;0.0
166471;drt;drt;NaN;27484;682151.7067208181;5382722.11008426;null;NaN;NaN;14435.0;NaN;NaN;0.0
289361;drt;drt;NaN;36273;682940.9973044872;5379171.4881790895;null;NaN;NaN;14569.0;NaN;NaN;0.0
297865;drt;drt;NaN;58676;716207.6518640998;5351088.488828666;null;NaN;NaN;14589.0;NaN;NaN;0.0
283353;drt;drt;NaN;63936;707417.4805279167;5381979.317478679;null;NaN;NaN;14653.0;NaN;NaN;0.0
