person_id;person_trip_id;leg_index;origin_x;origin_y;destination_x;destination_y;departure_time;travel_time;vehicle_distance;routed_distance;mode;euclidean_distance;origin_link_id;destination_link_id
330203;0;0;729133.8978781425;5359412.636104122;729133.8978781425;5359412.636104122;0.0;0.0;0.0;0.0;walk;0.0;64664;64664
283997;0;0;697282.7741866352;5354860.970786871;697282.7741866352;5354860.970786871;0.0;46.0;0.0;57.882955300973585;walk;0.0;12590;12590
194983;0;0;709957.5809657408;5372445.707494065;709957.5809657408;5372445.707494065;0.0;251.0;0.0;313.9425512731853;walk;0.0;6762;6762
283997;0;1;697282.7741866352;5354860.970786871;697239.3807470509;5355668.82517566;46.0;381.0;2213.1080715460125;2213.1080715460125;car;809.0189763432885;12590;38682
115638;0;0;717836.7699035951;5370416.092622109;717836.7699035951;5370416.092622109;0.0;441.0;0.0;552.2485079266264;walk;0.0;6091;6091
283997;0;2;697239.3807470509;5355668.82517566;697239.3807470509;5355668.82517566;427.0;42.0;0.0;52.97848351170138;walk;0.0;38682;38682
173052;0;0;734434.3036507283;5352835.3444602005;734434.3036507283;5352835.3444602005;9096.0;320.0;0.0;400.74867372596555;walk;0.0;62980;62980
208990;0;0;708212.5073294186;5344424.291255498;708212.5073294186;5344424.291255498;10566.0;138.0;0.0;173.28618127240804;walk;0.0;2268;2268
227916;0;0;711689.58947006;5373706.968402563;711689.58947006;5373706.968402563;10829.0;138.0;0.0;173.66358173006384;walk;0.0;73239;73239
209671;0;0;721373.4428568739;5362076.839845424;721373.4428568739;5362076.839845424;11309.0;40.0;0.0;50.376354436568676;walk;0.0;56970;56970
174524;0;0;715986.2806696547;5354602.988076213;715986.2806696547;5354602.988076213;11933.0;25.0;0.0;31.931114830697226;walk;0.0;47429;47429
174524;0;1;715986.2806696547;5354602.988076213;714588.103525599;5351474.039636315;11958.0;764.0;4432.246638691352;4432.246638691352;car;3427.1296540545045;47429;19382
174524;0;2;714588.103525599;5351474.039636315;714588.103525599;5351474.039636315;12722.0;17.0;0.0;21.299911999166703;walk;0.0;19382;19382
304088;0;0;718723.6329782485;5342482.156445967;718723.6329782485;5342482.156445967;12772.0;73.0;0.0;91.28096788175597;walk;0.0;79171;79171
114036;0;0;682779.0118996636;5391986.922037213;682779.0118996636;5391986.922037213;12947.0;191.0;0.0;239.87768319537028;walk;0.0;52090;52090
180251;0;0;704618.7908079501;5356321.17643548;704618.7908079501;5356321.17643548;13218.0;0.0;0.0;0.0;walk;0.0;28047;28047
145009;0;0;714976.1995000499;5350781.423593109;714976.1995000499;5350781.423593109;13264.0;0.0;0.0;0.0;walk;0.0;6116;6116
244436;0;0;724324.8149006346;5344809.527096986;724324.8149006346;5344809.527096986;13036.0;326.0;0.0;408.19364646921787;walk;0.0;40069;40069
260445;0;0;683818.207793423;5378004.140094884;683818.207793423;5378004.140094884;13363.0;16.0;0.0;20.38402126508193;walk;0.0;18653;18653
209671;0;1;721373.4428568739;5362076.839845424;701299.194149443;5364603.258463265;11349.0;2104.0;31955.606019386363;31955.606019386363;car;20232.60369305861;56970;5577
127552;0;0;702330.410673702;5364536.814573998;702330.410673702;5364536.814573998;13469.0;12.0;0.0;15.096132826931939;walk;0.0;34340;34340
265599;0;0;722262.2295457259;5354760.930716658;722262.2295457259;5354760.930716658;13270.0;301.0;0.0;376.25268368109715;walk;0.0;2497;2497
209671;0;2;701299.194149443;5364603.258463265;701299.194149443;5364603.258463265;13453.0;177.0;0.0;222.28045983257036;walk;0.0;5577;5577
157364;0;0;705147.4654210478;5358998.604048118;705147.4654210478;5358998.604048118;13578.0;101.0;0.0;127.35961029274982;walk;0.0;44531;44531
130145;0;0;693135.9455771622;5364745.729637068;693135.9455771622;5364745.729637068;13662.0;46.0;0.0;58.29580935034053;walk;0.0;62624;62624
70379;0;0;722967.0992196032;5344859.660225446;722967.0992196032;5344859.660225446;13667.0;60.0;0.0;75.86878108983242;walk;0.0;79247;79247
260445;0;1;683818.207793423;5378004.140094884;684713.2249264626;5376945.238651378;13379.0;397.0;3055.7010417589877;3055.7010417589877;car;1386.4804129496001;18653;14396
144161;0;0;716629.8986803344;5359189.123366887;716629.8986803344;5359189.123366887;13761.0;15.0;0.0;19.56732045085912;walk;0.0;53770;53770
78518;0;0;688673.9379747886;5386953.257173812;688758.5095389616;5387245.097856976;13508.0;331.0;0.0;414.2690890381726;walk;303.8475502885253;23042;81170
159391;0;0;701299.194149443;5364603.258463265;701299.194149443;5364603.258463265;13673.0;177.0;0.0;222.28045983257036;walk;0.0;5577;5577
155254;0;0;703473.6029453266;5367538.937613163;703473.6029453266;5367538.937613163;13858.0;8.0;0.0;11.1497691921504;walk;0.0;2397;2397
270125;0;0;728602.3923386558;5340049.349431226;728602.3923386558;5340049.349431226;13817.0;67.0;0.0;83.93778195487118;walk;0.0;60257;60257
231961;0;0;684446.496477636;5378327.712152402;684446.496477636;5378327.712152402;13940.0;9.0;0.0;12.42580601764218;walk;0.0;72819;72819
169596;0;0;692419.5432439178;5404940.802042619;692419.5432439178;5404940.802042619;13950.0;26.0;0.0;33.413771087192096;walk;0.0;62115;62115
260445;0;2;684713.2249264626;5376945.238651378;684713.2249264626;5376945.238651378;13776.0;203.0;0.0;254.1828288029612;walk;0.0;14396;14396
184991;0;0;699185.1642129092;5364888.916695055;699185.1642129092;5364888.916695055;13988.0;0.0;0.0;0.0;walk;0.0;55564;55564
234451;0;0;682223.4873692383;5376417.2580593405;682223.4873692383;5376417.2580593405;13982.0;94.0;0.0;117.82798586057103;walk;0.0;81073;81073
248574;0;0;690781.4385724234;5357050.695320392;690781.4385724234;5357050.695320392;14000.0;81.0;0.0;102.37711654171628;walk;0.0;9722;9722
280933;0;0;687037.4912170107;5366652.26492632;687037.4912170107;5366652.26492632;14123.0;26.0;0.0;33.22277489821358;walk;0.0;71537;71537
204304;0;0;681745.6582794953;5392631.1489666505;681745.6582794953;5392631.1489666505;14156.0;25.0;0.0;32.49239954938106;walk;0.0;49144;49144
174532;0;0;716356.0952848629;5354651.942987543;716356.0952848629;5354651.942987543;14289.0;15.0;0.0;18.78936619053581;walk;0.0;20250;20250
173191;0;0;701299.194149443;5364603.258463265;701299.194149443;5364603.258463265;14156.0;177.0;0.0;222.28045983257036;walk;0.0;5577;5577
