person_id;person_trip_id;leg_index;access_stop_id;egress_stop_id;transit_line_id;transit_route_id;departure_id;access_area_id;egress_area_id;transit_mode
277499;0;1;418670.link:6208;526251.link:42051;5409;40740;1122036_04:33:00;602778.0;41520.0;bus
334077;0;1;343995.link:30011;365108.link:58351;22858;1293182;178477_04:51:00;189869.0;400312.0;rail
185795;0;1;162037.link:66392;575778.link:69591;22934;1605429;1605429_05:00:00;538556.0;96062.0;bus
70379;0;1;540479.link:22554;596298.link:32124;12701;1243301;1313947_04:55:00;324836.0;456204.0;bus
305195;0;1;555055.link:48411;322056.link:77270;23106;666145;226341_05:13:00;222519.0;582085.0;bus
280325;0;1;113458.link:29895;89375.link:18799;5773;1557431;179102_05:12:00;532129.0;41137.0;bus
309356;0;1;257700.link:6228;29494.link:36104;12526;1157289;934626_05:36:00;457764.0;154159.0;bus
322189;0;1;631588.link:8298;367598.link:56070;15151;279880;279880_04:54:00;312105.0;26842.0;bus
289562;0;1;28010.link:41037;505687.link:16009;8390;891278;725517_05:36:00;323305.0;420643.0;bus
153582;0;1;53851.link:61582;604741.link:39762;3794;1432724;264843_05:36:00;96974.0;617326.0;bus
70379;0;3;458952.link:72371;364949.link:57138;20612;125244;1116264_05:12:00;456204.0;84551.0;bus
190720;0;1;83015.link:20757;626591.link:60893;22560;890601;491986_05:05:00;503138.0;384423.0;bus
247480;0;1;39456.link:73606;557401.link:54015;12743;1180575;747504_05:29:00;582818.0;6570.0;bus
185795;0;3;53851.link:61582;593729.link:46549;3794;1432724;264843_05:36:00;96974.0;93016.0;bus
289361;0;1;674159.link:33406;197854.link:15078;8390;98964;1616361_05:35:00;385007.0;655169.0;bus
67889;0;1;261769.link:10526;280110.link:58223;14820;148135;148135_05:36:00;433678.0;189869.0;bus
278113;0;1;418670.link:6208;526251.link:42051;5409;40740;86016_05:35:00;602778.0;41520.0;bus
322885;0;1;247690.link:24111;271856.link:42363;24400;1246556;664309_05:37:00;110406.0;326505.0;bus
255267;0;1;275445.link:39198;160212.link:41776;12526;341182;1080635_05:37:00;337282.0;378316.0;bus
267230;0;1;530260.link:63067;427669.link:53446;24871;1265272;1265272_05:51:00;125808.0;544870.0;bus
198695;0;1;51494.link:34113;110472.link:41026;8390;98964;1616361_05:35:00;402482.0;300257.0;bus
267671;0;1;120060.link:45285;34214.link:27152;13598;331817;331817_05:49:00;125808.0;125439.0;bus
129391;0;1;202865.link:60662;443516.link:52788;7725;534384;852526_05:45:00;146476.0;185600.0;bus
244796;0;1;283994.link:55177;477080.link:42859;7195;774173;760145_05:50:00;589889.0;240045.0;rail
190720;0;3;159131.link:26976;662009.link:37849;11523;1641431;1641431_05:52:00;384423.0;96974.0;rail
302216;0;1;1645.link:15311;23798.link:64514;7989;1112936;922921_05:44:00;121642.0;125808.0;bus
284347;0;1;174588.link:39795;557401.link:54015;18874;838869;619785_05:22:00;327757.0;6570.0;bus
325478;0;1;160283.link:55404;652669.link:2579;13676;934178;934178_06:02:00;183818.0;576344.0;bus
289361;0;3;52441.link:15082;216798.link:36257;5185;357449;357449_05:54:00;655169.0;308684.0;bus
174278;0;1;392073.link:25883;46295.link:76459;24492;1372716;1372716_05:52:00;411613.0;612531.0;bus
260262;0;1;448956.link:54741;35730.link:5130;24134;876515;876515_05:54:00;182874.0;193210.0;bus
207029;0;1;607682.link:73018;338123.link:57380;13598;331817;331817_05:49:00;473203.0;240045.0;bus
271565;0;1;230840.link:71130;56361.link:56858;7883;1584730;1584730_05:34:00;368764.0;240045.0;bus
163093;0;1;404582.link:17981;148862.link:48741;18695;1358369;1085791_05:58:00;62301.0;384423.0;bus
129391;0;3;136398.link:28292;168132.link:22316;21991;1288999;1267008_06:08:00;185600.0;417625.0;rail
294487;0;1;281844.link:41010;318517.link:36258;24134;205152;205152_05:50:00;30824.0;193210.0;bus
325533;0;1;404880.link:15084;52441.link:15082;21446;1158378;1158378_06:05:00;624003.0;655169.0;bus
72707;0;1;383361.link:77252;360448.link:34513;5503;204545;945454_06:01:00;666522.0;96974.0;bus
153837;0;1;53851.link:61582;593729.link:46549;3794;1432724;1277463_06:10:00;96974.0;93016.0;bus
334077;0;3;49607.link:47544;169975.link:20900;20612;330889;1237108_06:02:00;400312.0;651472.0;bus
257556;0;1;190693.link:71958;435836.link:13589;7839;372860;1619162_05:27:00;416475.0;96974.0;bus
123253;0;1;650649.link:53698;7750.link:41757;12526;889712;1564084_06:05:00;294168.0;378316.0;bus
283878;0;1;275445.link:39198;585269.link:9535;12526;1157289;27779_05:56:00;337282.0;309005.0;bus
83770;0;1;493058.link:55974;575778.link:69591;22934;1605429;1549770_06:07:00;549576.0;96062.0;bus
284347;0;3;557401.link:54015;459595.link:55514;12526;889712;1564084_06:05:00;6570.0;514562.0;bus
280330;0;1;251532.link:19502;44474.link:71232;3654;295338;4108_06:05:00;526672.0;463964.0;bus
114709;0;1;69692.link:39870;74636.link:22433;24400;910485;910485_06:06:00;607814.0;296807.0;bus
280325;0;3;157324.link:15495;465100.link:44997;19170;1622255;310499_06:03:00;41137.0;36373.0;bus
174278;0;3;69229.link:78978;149951.link:20355;23304;296562;251159_06:14:00;612531.0;355485.0;bus
207029;0;3;147812.link:56813;397053.link:28890;14820;881814;881814_06:25:00;240045.0;320286.0;bus
163093;0;3;159131.link:26976;662009.link:37849;10939;294701;209509_06:19:00;384423.0;96974.0;rail
225857;0;1;431060.link:16905;240701.link:60793;19170;233783;345286_06:20:00;601422.0;610144.0;bus
105122;0;1;418670.link:6208;526251.link:42051;5409;40740;1069193_06:11:00;602778.0;41520.0;bus
147614;0;1;205669.link:74749;431060.link:16906;3654;788878;788878_05:43:00;252486.0;601422.0;bus
76607;0;1;9641.link:49135;4350.link:69084;9289;1137759;224040_05:59:00;226748.0;135122.0;bus
326053;0;1;353106.link:76881;371822.link:58020;21446;1158378;1158378_06:05:00;318802.0;364587.0;bus
172824;0;1;226211.link:46239;319929.link:37325;14820;148135;148135_05:36:00;435987.0;240045.0;bus
190801;0;1;168343.link:11400;456323.link:64148;15259;240682;1053136_06:26:00;568853.0;334701.0;bus
257556;0;3;136857.link:51223;226796.link:47867;14415;219202;219202_06:31:00;96974.0;50190.0;bus
85751;0;1;142899.link:9600;9641.link:49135;7839;1463034;1463034_06:10:00;578786.0;226748.0;bus
120519;0;1;450302.link:72370;650692.link:81557;20612;92588;237746_05:56:00;456204.0;240045.0;bus
74650;0;1;168343.link:11400;258716.link:pt_258716;15259;240682;1053136_06:26:00;568853.0;422816.0;bus
73401;0;1;115586.link:5768;410688.link:34513;5468;356371;137488_06:15:00;418354.0;96974.0;bus
136226;0;1;560972.link:10925;254705.link:22606;13245;460649;1351126_06:26:00;431096.0;262138.0;bus
325533;0;3;52441.link:15082;216798.link:36257;5185;1163584;1163584_06:31:00;655169.0;308684.0;bus
172824;0;3;272376.link:56818;241030.link:64056;16784;348850;1523704_06:36:00;240045.0;496605.0;bus
297419;0;1;410636.link:8131;241030.link:64056;16784;348850;1523704_06:36:00;224192.0;496605.0;bus
305195;0;3;322056.link:77270;367598.link:56070;373;775664;775664_06:00:00;582085.0;26842.0;bus
272613;0;1;244640.link:20907;602275.link:53030;3299;268693;268693_05:39:00;103883.0;240045.0;bus
234831;0;1;70055.link:22483;547781.link:43871;11812;176209;176209_06:10:00;67848.0;520666.0;bus
292069;0;1;29290.link:73327;547781.link:43871;11812;176209;176209_06:10:00;486511.0;520666.0;bus
391883;0;1;367511.link:23299;547781.link:43871;11812;176209;176209_06:10:00;351022.0;520666.0;bus
144552;0;1;606173.link:53409;602275.link:53030;3299;268693;268693_05:39:00;557425.0;240045.0;bus
322882;0;1;74636.link:22432;405816.link:42364;24400;40825;1599730_06:34:00;296807.0;326505.0;bus
245507;0;1;349065.link:30543;635139.link:25290;23106;57185;1002292_06:13:00;504931.0;609285.0;bus
334077;0;5;197070.link:60651;602275.link:53030;3299;268693;268693_05:39:00;651472.0;240045.0;bus
272977;0;1;283994.link:55177;477080.link:42859;7195;774173;77934_06:30:00;589889.0;240045.0;rail
83770;0;3;360448.link:67145;307730.link:27984;5503;1117701;972371_06:32:00;96974.0;417625.0;bus
122313;0;1;575104.link:34689;97826.link:40862;17075;172490;172490_06:21:00;165718.0;411474.0;bus
306733;0;1;460064.link:36734;97826.link:40862;17075;172490;172490_06:21:00;336100.0;411474.0;bus
123674;0;1;537242.link:41120;557401.link:54015;18874;838869;838869_06:02:00;357296.0;6570.0;bus
72707;0;3;572948.link:59411;382205.link:62146;21108;149335;1246846_06:30:00;96974.0;40950.0;bus
163093;0;5;410688.link:10330;595865.link:69580;5468;698978;698978_06:44:00;96974.0;578598.0;bus
181180;0;1;478729.link:61345;56361.link:56858;7883;1653819;1653819_06:12:00;260688.0;240045.0;bus
156629;0;1;410688.link:10330;1339.link:42050;5468;698978;698978_06:44:00;96974.0;41520.0;bus
274193;0;1;196387.link:61355;56361.link:56858;7883;1653819;1653819_06:12:00;598422.0;240045.0;bus
271592;0;1;597281.link:2434;147812.link:59273;20417;1508136;1508136_06:19:00;125049.0;240045.0;bus
179095;0;1;667947.link:71140;56361.link:56858;7883;1653819;1653819_06:12:00;565436.0;240045.0;bus
146896;0;1;69468.link:76354;626591.link:60894;10278;673108;673108_06:12:00;284116.0;384423.0;bus
267953;0;1;468301.link:26547;31045.link:56814;10278;1014075;871096_06:05:00;502007.0;240045.0;bus
159105;0;1;365736.link:67510;626591.link:60894;10278;673108;673108_06:12:00;593923.0;384423.0;bus
209640;0;1;492685.link:47479;626591.link:60894;10278;673108;673108_06:12:00;243285.0;384423.0;bus
224974;0;1;468534.link:76153;435836.link:13589;7839;1463034;1463034_06:10:00;464161.0;96974.0;bus
329693;0;1;397237.link:75640;648929.link:42716;13373;935127;163095_06:49:00;640310.0;477437.0;bus
277143;0;1;667751.link:5769;526251.link:42051;5409;1451762;305650_06:34:00;418354.0;41520.0;bus
54687;0;1;523789.link:69083;272065.link:70652;5409;1451762;305650_06:34:00;135122.0;578598.0;bus
76520;0;1;331135.link:61107;3079.link:20260;24325;1701259;1701259_06:14:00;92503.0;239072.0;bus
244796;0;3;627970.link:79468;89375.link:18799;5773;1557431;274177_06:32:00;240045.0;41137.0;bus
268722;0;1;522611.link:64287;155742.link:49193;14914;618201;992420_06:33:00;313612.0;93008.0;bus
273260;0;1;415892.link:54208;89375.link:18799;5773;1557431;274177_06:32:00;496190.0;41137.0;bus
88220;0;1;507710.link:59125;72018.link:58788;22781;1077002;1077002_06:12:00;36305.0;208691.0;bus
267953;0;3;477080.link:42860;399963.link:37927;7195;554463;92236_06:57:00;240045.0;42579.0;rail
91155;0;1;49607.link:47545;9607.link:38505;20612;705237;1470459_06:26:00;400312.0;321224.0;bus
349307;0;1;73842.link:36758;367598.link:56070;9289;1137759;385198_06:19:00;508585.0;26842.0;bus
267826;0;1;427299.link:64054;565376.link:63056;23304;296562;251159_06:14:00;480503.0;496096.0;bus
73401;0;3;53851.link:61582;26883.link:37515;966;1482539;1482539_06:52:00;96974.0;411153.0;bus
144552;0;3;147812.link:56813;347116.link:11544;373;226990;226990_06:53:00;240045.0;106287.0;bus
232375;0;1;640414.link:67589;104996.link:25799;24101;325654;325654_06:30:00;179684.0;59541.0;bus
273193;0;1;415892.link:54208;443516.link:52788;5773;1557431;274177_06:32:00;496190.0;185600.0;bus
302216;0;3;120060.link:15713;443516.link:52788;5773;1557431;274177_06:32:00;125808.0;185600.0;bus
327581;0;1;406280.link:54742;110472.link:41026;8390;98964;377278_06:35:00;493871.0;300257.0;bus
123638;0;1;12224.link:29870;545209.link:15585;12743;1180575;1590048_06:29:00;464291.0;88225.0;bus
76206;0;1;566464.link:47074;404582.link:17981;18695;238513;238513_06:42:00;487641.0;62301.0;bus
118145;0;1;338123.link:56812;452220.link:14574;13598;1422485;182258_06:53:00;240045.0;301018.0;bus
305847;0;1;126593.link:9365;175917.link:43827;24871;328856;328856_06:40:00;572234.0;124343.0;bus
245507;0;3;635139.link:25290;383361.link:77252;5503;204545;340295_06:51:00;609285.0;666522.0;bus
150254;0;1;126593.link:9365;175917.link:43827;24871;328856;328856_06:40:00;572234.0;124343.0;bus
305772;0;1;131259.link:51278;175917.link:43827;24871;328856;328856_06:40:00;61333.0;124343.0;bus
331398;0;1;380186.link:47559;484637.link:68812;13668;1030855;355103_06:44:00;476973.0;626868.0;bus
123674;0;3;557401.link:54015;7750.link:41757;12526;889712;889712_06:45:00;6570.0;378316.0;bus
186800;0;1;142575.link:14866;609932.link:13589;21480;915170;458329_06:44:00;451556.0;96974.0;bus
172228;0;1;233132.link:33390;197854.link:15078;24101;325654;325654_06:30:00;440091.0;655169.0;bus
123658;0;1;7750.link:41757;585269.link:9535;12526;889712;1537139_06:25:00;378316.0;309005.0;bus
311550;0;1;199199.link:46517;277214.link:69591;18092;841381;841381_06:50:00;664177.0;96062.0;bus
155475;0;1;590143.link:22892;277214.link:69591;18092;841381;841381_06:50:00;38250.0;96062.0;bus
272613;0;3;170659.link:56815;231131.link:81139;17075;574539;490500_06:54:00;240045.0;36038.0;bus
93173;0;1;590143.link:22892;277214.link:69591;18092;841381;841381_06:50:00;38250.0;96062.0;bus
92445;0;1;590143.link:22892;277214.link:69591;18092;841381;841381_06:50:00;38250.0;96062.0;bus
126286;0;1;462215.link:pt_462215;662009.link:37849;16059;258178;1202969_06:52:00;480693.0;96974.0;rail
181180;0;3;147812.link:56813;610783.link:11538;373;226990;226990_06:53:00;240045.0;79241.0;bus
147614;0;3;431060.link:16905;344571.link:6227;12526;341182;1223971_06:37:00;601422.0;457764.0;bus
132800;0;1;49478.link:9292;662009.link:37849;16059;258178;1202969_06:52:00;601422.0;96974.0;rail
70564;0;1;572907.link:44315;46295.link:76459;20612;705237;1470459_06:26:00;352212.0;612531.0;bus
236015;0;1;222500.link:9796;299970.link:68366;22781;1362296;1362296_06:58:00;270354.0;94257.0;bus
288471;0;1;205692.link:24298;41162.link:49389;21536;1536122;1536122_06:50:00;377344.0;671895.0;bus
259193;0;1;339592.link:17224;41162.link:49389;21536;1536122;1536122_06:50:00;176484.0;671895.0;bus
233036;0;1;644681.link:3283;104996.link:64428;11812;176209;176209_06:10:00;511517.0;59541.0;bus
273260;0;3;89375.link:18799;581508.link:54324;19170;593598;185229_06:49:00;41137.0;51975.0;bus
208433;0;1;69229.link:78978;660488.link:45656;24492;105650;105650_06:33:00;612531.0;590495.0;bus
280482;0;1;50743.link:38930;396470.link:18797;3654;295338;295338_06:45:00;594422.0;33445.0;bus
272910;0;1;572907.link:44315;650692.link:81557;20612;705237;1470459_06:26:00;352212.0;240045.0;bus
256364;0;1;202267.link:54238;594887.link:29428;18874;779435;779435_06:58:00;249144.0;586561.0;bus
224974;0;3;609932.link:13589;514565.link:14296;21480;915170;458329_06:44:00;96974.0;485025.0;bus
160250;0;1;87272.link:67511;537498.link:743;15259;386101;222207_06:56:00;593923.0;36685.0;bus
