iteration;indicator:mode_share:bicycle;indicator:mode_share:car;indicator:mode_share:car_passenger;indicator:mode_share:drt;indicator:mode_share:pt;indicator:mode_share:walk;criterion:mode_share:bicycle;criterion:mode_share:car;criterion:mode_share:car_passenger;criterion:mode_share:drt;criterion:mode_share:pt;criterion:mode_share:walk
0;0.013030389094007385;0.6103890940073843;0.15777335984095428;0.0;0.10380005680204488;0.1150071002556092;NaN;NaN;NaN;NaN;NaN;NaN
1;0.013627114702633569;0.6073193418987268;0.15561885936864137;0.007162374280565083;0.10179640718562874;0.11447590256380442;NaN;NaN;NaN;NaN;NaN;NaN
2;0.014609790642592747;0.6035003987193372;0.15360216141587021;0.014199169235530058;0.10027493781168545;0.11381354217498423;NaN;NaN;NaN;NaN;NaN;NaN
3;0.01559754087893511;0.6011103746450267;0.15106203138967098;0.0213926506090034;0.09794525962456445;0.11289214285279935;NaN;NaN;NaN;NaN;NaN;NaN
4;0.016196969039037733;0.5973213898004379;0.15034459656458007;0.028150840865244442;0.09622029366699131;0.11176591006370849;NaN;NaN;NaN;NaN;NaN;NaN
5;0.016872000709067195;0.5949453638401053;0.14847993719690541;0.03517479772592021;0.09387543208782304;0.11065246844017879;NaN;NaN;NaN;NaN;NaN;NaN
6;0.017834714895754836;0.5927707894550397;0.14605272480178283;0.04146619519641374;0.09252281671271875;0.10935275893829022;NaN;NaN;NaN;NaN;NaN;NaN
7;0.01871459423267538;0.5914231887673049;0.14290309240453983;0.04847020828273413;0.0900217275716977;0.10846718874104805;NaN;NaN;NaN;NaN;NaN;NaN
8;0.019249155885400996;0.5887005649717514;0.1416441012268913;0.05505298699562063;0.08731989436031157;0.10803329656002407;NaN;NaN;NaN;NaN;NaN;NaN
9;0.019810519881829605;0.5863832388196543;0.13994363136269483;0.06104112193962444;0.08570070291011579;0.10712078508608103;NaN;NaN;NaN;NaN;NaN;NaN
10;0.020478995547443236;0.5850134129815537;0.13753145828147903;0.06765950385796067;0.08320888298902071;0.10610774634254266;NaN;NaN;NaN;NaN;NaN;NaN
11;0.021298089064736087;0.5839646996099559;0.13509133765468473;0.07328057917333108;0.08148132558857367;0.10488396890871847;NaN;NaN;NaN;NaN;NaN;NaN
