iteration;bicycle;car;car_passenger;drt;pt;walk
0;0.03179134676681726;0.49695113500928517;0.12860666869924334;0.0;0.059730036863549434;0.2829208126611048
1;0.03337121317109676;0.4853654480445689;0.12553008675406746;0.018847529033509797;0.05759583137004906;0.27928989162670803
2;0.03538069236952244;0.47340558219462847;0.12261980653565786;0.037251586795642895;0.055766512375620164;0.2755758197289282
3;0.03758419024917542;0.4632473183846559;0.11957094154494304;0.054782560492253114;0.05368774079104188;0.27112724853793063
4;0.03878987776823083;0.4533939410737548;0.11810194295850772;0.07063665844397017;0.05219102525014552;0.26688655450539095
5;0.04038360264974085;0.444372072396685;0.11596773746500734;0.0860195681698495;0.05043099864186923;0.262826020676848
6;0.04253166662047174;0.43679148535158957;0.11355636242689653;0.09944843260622523;0.04926688655450539;0.25840516644031153
7;0.04423625931982594;0.4293494830787993;0.11067379916294798;0.11318218354167243;0.047479142991768065;0.25507913190498627
8;0.04512320186257934;0.42113140608109983;0.109107791235899;0.12661104797804817;0.045691399429030735;0.25233515341334295
9;0.045940852019180134;0.41452091244214084;0.10755564178608054;0.13822445189722554;0.04447185343274481;0.24928628842262812
10;0.047104964106543974;0.4075362399179578;0.105310568474736;0.15101582638099725;0.04308600570969262;0.24594639541007235
11;0.04856010421574877;0.4024917542060478;0.10319022145846614;0.16113251475927826;0.041755591895562515;0.24286981346489647
12;0.04939161284958009;0.39578425122647526;0.1013331855095762;0.17208071177139056;0.040522187422046066;0.24088805122093185
13;0.05023697996064192;0.38915989911028576;0.10005820560436819;0.18200338146844425;0.03937193381191275;0.23916960004434712
14;0.05129022423016159;0.3832007539011613;0.09870007483577704;0.19156573075750435;0.03811081238393525;0.2371324038914604
15;0.052579062612600126;0.3780592588486377;0.09736966102164694;0.2003242883671942;0.03707142659164611;0.2345963025582749
16;0.05332742038304831;0.3740125834973253;0.09651043543335458;0.20748912109537404;0.03592117298151279;0.23273926660938496
17;0.053937193381191274;0.36992433271432135;0.0949444275063056;0.21590121677430085;0.03482635328030156;0.23046647634357936
18;0.05514288090024668;0.36630727015715514;0.09393275866847751;0.22370353945508467;0.03384240139693451;0.2270711494221015
19;0.05586352171623382;0.3611657751046315;0.09346157044263977;0.23147814518140747;0.032844591036336926;0.22518639651875053
20;0.05640400232822417;0.3575487125474653;0.09220044901466228;0.23767288450345075;0.03226253499265501;0.2239114166135425
21;0.05722165248482497;0.3541672441032179;0.09167382687990244;0.24341029407688683;0.0315003187449763;0.22202666371019153
22;0.05797001025527315;0.3504670306826686;0.09085617672330164;0.24923085451370602;0.030488649907148203;0.22098727791790237
23;0.0585104908672635;0.3467668172621192;0.0903849884974639;0.2545802267246875;0.029684858227777933;0.22007261842068793
24;0.05946672579616952;0.34284486820588156;0.08922087641010006;0.26047007954765933;0.02908894370686549;0.2189085063333241
25;0.05971617838631891;0.3403226253499266;0.08870811275257075;0.2656115746001829;0.028368302890878352;0.2172732060201225
26;0.06013193270323457;0.336802572133374;0.08777959477812577;0.2707253526982455;0.02793869009673217;0.216621857590288
27;0.06061697940630283;0.3338507164832728;0.08661548269076194;0.2757698384101555;0.027384351007511295;0.2157626320019956
28;0.06115746001829319;0.3311067379916295;0.08563153080739488;0.2803847113279193;0.02670528562321572;0.21501427423154743
29;0.06194739322043294;0.32891709858920704;0.08492474846863826;0.28411264170292966;0.026178663488455888;0.2139194545303362
30;0.06269575099088112;0.3269353363452424;0.08453671110618365;0.2871060727847224;0.02574905069430971;0.2129770780786607
31;0.06311150530779677;0.3246209706477452;0.08423182460711218;0.29057069209235287;0.025277862468471964;0.21218714487652096
32;0.06336095789794617;0.3218769921561019;0.08344189140497242;0.29490839546550623;0.025014551401092048;0.21139721167438122
33;0.06345796723855983;0.3201308240250561;0.08302613708805677;0.2983314393414452;0.024709664902020565;0.21034396740486155
34;0.06392915546439758;0.31868954239308184;0.0824163640899138;0.3015188891044652;0.024307769062335432;0.20913827988580616
35;0.06415089110008593;0.31705424207988026;0.08194517586407606;0.30452617866348847;0.024099891903877603;0.2082236203885917
36;0.06459436237146263;0.31522492308545136;0.08170958175115718;0.3077690623354306;0.023753429973114554;0.20694864048338368
37;0.06498239973391724;0.31356190581778876;0.08116910113916682;0.31048532387261285;0.023268383270046288;0.20653288616646803
38;0.0653981540508329;0.3119681809362787;0.08068405443609857;0.3136727736356329;0.02306050611158846;0.20521633082956844
39;0.0652734277557582;0.31079021037168436;0.08042074336871864;0.31612572410543527;0.022880345907591675;0.20450954849081182
40;0.0654674464369855;0.3093350702624796;0.08008813991518612;0.3184400898029325;0.022727902658055934;0.20394135092436044
41;0.06550902186867708;0.3076027606086643;0.07992183818841986;0.3206158707281244;0.022367582250062364;0.203982926356052
42;0.06568918207267385;0.3057180077053133;0.07989412123395881;0.3230549627206962;0.022215139000526622;0.2034285872668311
43;0.06610493638958952;0.3039441226198065;0.07990797971118933;0.324773413897281;0.022090412705451926;0.20317913467668172
44;0.06613265334405055;0.3025859918512154;0.07954765930319577;0.32678289309570663;0.021854818592533052;0.2030959838132986
45;0.06629895507081682;0.30174062474015356;0.07943679148535158;0.3284459103633693;0.021577649047922615;0.20250006929238615
46;0.066409822888661;0.3009645500152443;0.07943679148535158;0.32995648438149616;0.021355913412234265;0.20187643781701267
47;0.066409822888661;0.30002217356356886;0.07921505584966324;0.3314947753540841;0.021231187117159565;0.20162698522686326
48;0.06654840766096622;0.29895507081681866;0.07884087696443914;0.3331439341445162;0.02089858366362704;0.20161312674963275
49;0.06664541700157986;0.2982760054325231;0.0786191413287508;0.33436348014080214;0.020857008231935474;0.20123894786440866
50;0.06643753984312203;0.29787410959283794;0.07857756589705923;0.33513955486571134;0.02067684802793869;0.20129438177333075
