Iteration;bicycle_travel;bicycle_wait;car_travel;car_wait;car_passenger_travel;car_passenger_wait;pt_travel;pt_wait;stageActivity_travel;stageActivity_wait;walk_travel;walk_wait
0;757;0;15080;0;1366;0;5313;0;0;0;16518;0
1;744;0;13595;0;1313;0;5045;0;0;0;15838;0
2;754;0;12339;0;1272;0;4837;0;0;0;15233;0
3;764;0;11502;0;1220;0;4599;0;0;0;14591;0
4;733;0;10623;0;1193;0;4429;0;0;0;13959;0
5;721;0;10029;0;1156;0;4220;0;0;0;13397;0
6;732;0;9508;0;1114;0;4066;0;0;0;12791;0
7;740;0;9067;0;1073;0;3844;0;0;0;12244;0
8;729;0;8529;0;1037;0;3658;0;0;0;11820;0
9;698;0;8049;0;1009;0;3494;0;0;0;11299;0
10;696;0;7669;0;976;0;3301;0;0;0;10777;0
11;698;0;7376;0;944;0;3161;0;0;0;10316;0
12;680;0;7069;0;919;0;3050;0;0;0;10002;0
13;671;0;6832;0;893;0;2925;0;0;0;9725;0
14;669;0;6611;0;871;0;2785;0;0;0;9352;0
15;677;0;6401;0;848;0;2664;0;0;0;8954;0
16;678;0;6259;0;831;0;2555;0;0;0;8682;0
17;667;0;6145;0;803;0;2441;0;0;0;8384;0
18;668;0;6053;0;784;0;2326;0;0;0;8027;0
19;668;0;5891;0;769;0;2225;0;0;0;7714;0
20;661;0;5745;0;751;0;2151;0;0;0;7523;0
21;662;0;5660;0;739;0;2057;0;0;0;7257;0
22;661;0;5537;0;728;0;1948;0;0;0;7061;0
23;666;0;5435;0;719;0;1863;0;0;0;6855;0
24;675;0;5340;0;702;0;1805;0;0;0;6552;0
25;656;0;5256;0;689;0;1731;0;0;0;6340;0
26;662;0;5148;0;676;0;1682;0;0;0;6139;0
27;662;0;5080;0;657;0;1612;0;0;0;5994;0
28;657;0;5003;0;641;0;1531;0;0;0;5852;0
29;663;0;4949;0;632;0;1464;0;0;0;5686;0
30;669;0;4899;0;628;0;1416;0;0;0;5540;0
31;668;0;4845;0;621;0;1357;0;0;0;5346;0
32;667;0;4765;0;606;0;1322;0;0;0;5196;0
33;657;0;4702;0;597;0;1281;0;0;0;5042;0
34;656;0;4667;0;589;0;1227;0;0;0;4845;0
35;658;0;4615;0;580;0;1187;0;0;0;4721;0
36;659;0;4568;0;572;0;1154;0;0;0;4590;0
37;659;0;4553;0;566;0;1104;0;0;0;4508;0
38;654;0;4516;0;557;0;1085;0;0;0;4383;0
39;652;0;4474;0;547;0;1067;0;0;0;4270;0
40;642;0;4448;0;544;0;1044;0;0;0;4141;0
41;632;0;4421;0;539;0;993;0;0;0;4079;0
42;633;0;4363;0;537;0;970;0;0;0;3974;0
43;632;0;4295;0;535;0;952;0;0;0;3928;0
44;631;0;4276;0;529;0;916;0;0;0;3862;0
45;630;0;4253;0;528;0;890;0;0;0;3777;0
46;623;0;4254;0;523;0;868;0;0;0;3719;0
47;621;0;4236;0;520;0;846;0;0;0;3655;0
48;620;0;4203;0;516;0;825;0;0;0;3602;0
49;621;0;4184;0;509;0;818;0;0;0;3562;0
50;616;0;4176;0;507;0;803;0;0;0;3544;0
