Iteration;bicycle;car;car_passenger;pt;walk
0;11353;362976;94591;55303;74407
1;11165;351889;90736;52859;71344
2;11313;339188;87452;50659;68619
3;11462;328831;83104;48143;65731
4;10998;317791;80588;46409;62883
5;10826;307720;77761;44666;60355
6;10983;299709;74486;43129;57623
7;11100;291587;71350;41046;55164
8;10937;282384;68345;38997;53252
9;10474;274940;66219;37323;50907
10;10441;267941;63554;35304;48555
11;10478;261617;60966;33966;46480
12;10209;254662;59093;32674;45067
13;10066;248100;56803;31339;43819
14;10040;242192;55115;29607;42139
15;10155;235604;53256;28689;40346
16;10173;230850;51958;27674;39122
17;10018;226166;49651;26753;37783
18;10034;222722;48153;25438;36174
19;10020;217840;46918;24423;34767
20;9922;213388;45498;23730;33906
21;9943;209638;44532;22739;32709
22;9929;205992;43592;21568;31827
23;10001;202194;42854;20777;30898
24;10126;198620;41484;20279;29535
25;9852;196229;40441;19530;28580
26;9931;193005;39491;19151;27675
27;9938;190007;38211;18406;27021
28;9857;186971;36921;17587;26380
29;9959;184848;36325;16955;25634
30;10049;182889;35933;16660;24974
31;10033;180488;35360;15714;24103
32;10018;177781;33976;15380;23426
33;9866;176172;33327;15057;22734
34;9848;174575;32788;14565;21846
35;9882;172733;32105;14148;21286
36;9893;171360;31409;13818;20698
37;9891;170577;30869;13141;20330
38;9822;169049;30142;12999;19766
39;9792;167908;29497;12784;19259
40;9633;166632;29146;12626;18677
41;9492;165447;28838;12120;18398
42;9509;163628;28604;11729;17927
43;9490;161180;28411;11456;17718
44;9480;159951;27928;10957;17422
45;9464;158770;27791;10669;17037
46;9347;158320;27456;10430;16777
47;9325;157339;27292;10189;16487
48;9313;155730;26924;9976;16252
49;9330;154870;26343;9896;16070
50;9240;154768;26156;9699;15991
