iteration;avg_executed;avg_worst;avg_average;avg_best
0;-6.502038704336063;-6.502038704336063;-6.502038704336063;-6.502038704336063
1;-6.180453065941246;-6.444951902938512;-6.312184646392941;-6.179417389847358
2;-5.914905838667851;-6.151473613143867;-6.032816031203928;-5.914158449263992
3;-5.530329829541232;-5.897353429625993;-5.713232740990404;-5.52911205235481
4;-5.319060173070563;-5.5122021160735635;-5.415108514066894;-5.318014912060229
5;-4.969015882871834;-5.2698980524632555;-5.119045660176519;-4.968193267889798
6;-4.642507391966425;-4.959168071140292;-4.800382423382278;-4.641596775624261
7;-4.357470986531851;-4.634699418005857;-4.495546796075368;-4.356394174144884
8;-4.227811189465983;-4.347138385003205;-4.287082717336153;-4.227027049669114
9;-3.9436149918934835;-4.218544521813699;-4.080547941830154;-3.94255136184662
10;-3.6635587020692775;-3.937492472514228;-3.7999239366656594;-3.6623554008170793
11;-3.4309815176199994;-3.659681356967932;-3.544937445484267;-3.4301935340005967
12;-3.339171853363111;-3.426474919057982;-3.3823794062279897;-3.338283893398001
13;-3.1751182468226804;-3.337038112978821;-3.2555254579323205;-3.174012802885818
14;-3.0457150741907117;-3.1735655026783647;-3.1092490870921603;-3.044932671505951
15;-2.8402441566505616;-3.044481354996725;-2.9419362763215635;-2.8393911976464064
16;-2.72058641701532;-2.839648992474979;-2.7796213588405467;-2.7195937252061113
17;-2.6572617815624673;-2.721179412880749;-2.6886663229402306;-2.6561532329997113
18;-2.5355972339261696;-2.657644020145575;-2.596130619742467;-2.5346172193393564
19;-2.413552221778707;-2.534726706681847;-2.4737097815427584;-2.412692856403664
20;-2.298469246955742;-2.41261382396279;-2.3552790159321515;-2.297944207901519
21;-2.220754387132068;-2.2988580520690145;-2.259538310097921;-2.2202185681268283
22;-2.143792546926673;-2.2205864416552106;-2.1816859596990046;-2.1427854777427946
23;-2.030352239519426;-2.1442759445701163;-2.086744245354155;-2.0292125461381922
24;-1.952300503146526;-2.0307600666262644;-1.9910395322363774;-1.951318997846485
25;-1.9152984999236236;-1.9520113047806433;-1.9333551273143132;-1.9146989498479787
26;-1.8033115023925304;-1.9152964301730266;-1.8588424673398327;-1.8023885045066326
27;-1.7324068242633848;-1.8040261207453023;-1.7677289599995998;-1.7314317992538997
28;-1.6798542427423042;-1.732862563632504;-1.706002892722845;-1.6791432218131834
29;-1.6479143197173194;-1.6803856019278087;-1.663762319944;-1.6471390379601996
30;-1.6179408815166247;-1.6486760002562455;-1.6328600134040885;-1.6170440265519344
31;-1.565701177293846;-1.6186826530260157;-1.5917299911789156;-1.5647773293318101
32;-1.5148658481295783;-1.5655517733327378;-1.5399168465378437;-1.5142819197429482
33;-1.502565874740658;-1.514908093217618;-1.5083231632195393;-1.501738233221462
34;-1.412841964686104;-1.5030756863440717;-1.4576674465191126;-1.4122592066941564
35;-1.3454877096238405;-1.4133903130744117;-1.3789956042439662;-1.3446008954135238
36;-1.2783405281806342;-1.3457770927888844;-1.311714677488498;-1.2776522621881146
37;-1.2332212464826522;-1.2797767256545545;-1.2558766009767197;-1.2319764762988878
38;-1.1671190057312362;-1.2340643125717619;-1.2001617793448713;-1.1662592461179837
39;-1.120641105246813;-1.1675558093463982;-1.1436609514446323;-1.1197660935428673
40;-1.0929233871961237;-1.1215755606806477;-1.1067818088634553;-1.0919880570462646
41;-1.0286024255505746;-1.0934270511474755;-1.0607380385663492;-1.0280490259852224
42;-1.020345352670716;-1.0288146612261768;-1.0241933578253783;-1.0195720544245834
43;-1.0143329735909656;-1.020131983560264;-1.0170055513667735;-1.0138791191732812
44;-0.9703678119286601;-1.0152412121839296;-0.9924859922236485;-0.969730772263368
45;-0.9451365665794406;-0.9709897473425871;-0.9576935709604132;-0.9443973945782375
46;-0.9411122075861271;-0.9465590889155;-0.9433928140230513;-0.9402265391306042
47;-0.9362415669983185;-0.9419067700556356;-0.9387171488692743;-0.935527527682913
48;-0.8738146858660696;-0.9367587705681463;-0.9049539234093747;-0.8731490762506
49;-0.8706424974004932;-0.8746355144562237;-0.8722091322817054;-0.8697827501071848
50;-0.8685050733529462;-0.871315227943604;-0.8695272899079932;-0.8677393518723845
