iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;iterationEndsListeners;iteration
0;23:17:24;23:17:24;23:17:24;;;23:17:24;23:17:24;23:17:28;23:17:28;23:17:28;23:17:28;23:17:28;23:26:50;23:26:50;23:26:52;23:26:52;23:26:52;23:26:52;23:27:01;23:27:01;;00:00:00;;00:00:03;00:00:03;00:00:00;00:09:21;00:00:01;00:00:00;00:00:09;00:09:36
1;23:27:01;23:27:01;23:27:01;23:27:01;23:27:04;23:27:04;23:27:04;23:27:07;23:27:07;23:27:07;23:27:08;23:27:08;23:35:10;23:35:10;23:35:11;23:35:11;23:35:11;23:35:11;23:35:18;23:35:18;;00:00:00;00:00:02;00:00:03;00:00:03;00:00:00;00:08:01;00:00:01;00:00:00;00:00:06;00:08:16
2;23:35:18;23:35:18;23:35:18;23:35:18;23:35:19;23:35:19;;;23:35:19;23:35:19;23:35:20;23:35:20;23:43:35;23:43:35;23:43:36;23:43:36;23:43:36;23:43:36;23:43:39;23:43:39;;00:00:00;00:00:01;;00:00:00;00:00:00;00:08:15;00:00:01;00:00:00;00:00:02;00:08:21
3;23:43:39;23:43:39;23:43:39;23:43:39;23:43:41;23:43:41;;;23:43:41;23:43:41;23:43:42;23:43:42;23:52:16;23:52:16;23:52:17;23:52:17;23:52:18;23:52:18;23:52:20;23:52:20;;00:00:00;00:00:01;;00:00:00;00:00:00;00:08:34;00:00:01;00:00:00;00:00:02;00:08:40
4;23:52:20;23:52:20;23:52:20;23:52:20;23:52:22;23:52:22;;;23:52:22;23:52:22;23:52:23;23:52:23;00:01:14;00:01:14;00:01:16;00:01:16;00:01:16;00:01:16;00:01:18;00:01:18;;00:00:00;00:00:02;;00:00:00;00:00:00;00:08:51;00:00:01;00:00:00;00:00:02;00:08:58
5;00:01:18;00:01:18;00:01:18;00:01:18;00:01:20;00:01:20;;;00:01:20;00:01:20;00:01:21;00:01:21;00:10:34;00:10:34;00:10:36;00:10:36;00:10:36;00:10:36;00:10:38;00:10:38;;00:00:00;00:00:01;;00:00:00;00:00:00;00:09:13;00:00:01;00:00:00;00:00:02;00:09:19
6;00:10:38;00:10:38;00:10:38;00:10:38;00:10:40;00:10:40;;;00:10:40;00:10:40;00:10:40;00:10:40;00:20:11;00:20:11;00:20:12;00:20:12;00:20:12;00:20:12;00:20:15;00:20:15;;00:00:00;00:00:01;;00:00:00;00:00:00;00:09:30;00:00:01;00:00:00;00:00:02;00:09:36
7;00:20:15;00:20:15;00:20:15;00:20:15;00:20:17;00:20:17;;;00:20:17;00:20:17;00:20:18;00:20:18;00:30:07;00:30:07;00:30:08;00:30:08;00:30:08;00:30:08;00:30:11;00:30:11;;00:00:00;00:00:02;;00:00:00;00:00:00;00:09:48;00:00:01;00:00:00;00:00:02;00:09:55
8;00:30:11;00:30:11;00:30:11;00:30:11;00:30:13;00:30:13;;;00:30:13;00:30:13;00:30:13;00:30:13;00:40:11;00:40:11;00:40:12;00:40:12;00:40:12;00:40:12;00:40:15;00:40:15;;00:00:00;00:00:02;;00:00:00;00:00:00;00:09:57;00:00:01;00:00:00;00:00:02;00:10:04
9;00:40:15;00:40:15;00:40:15;00:40:15;00:40:17;00:40:17;;;00:40:17;00:40:17;00:40:18;00:40:18;00:50:32;00:50:32;00:50:34;00:50:34;00:50:34;00:50:34;00:50:36;00:50:36;;00:00:00;00:00:02;;00:00:00;00:00:00;00:10:14;00:00:01;00:00:00;00:00:02;00:10:21
10;00:50:36;00:50:36;00:50:36;00:50:36;00:50:39;00:50:39;;;00:50:39;00:50:39;00:50:39;00:50:39;01:01:05;01:01:05;01:01:06;01:01:06;01:01:06;01:01:06;01:01:09;01:01:09;;00:00:00;00:00:02;;00:00:00;00:00:00;00:10:25;00:00:01;00:00:00;00:00:02;00:10:32
11;01:01:09;01:01:09;01:01:09;01:01:09;01:01:12;01:01:12;;;01:01:12;01:01:12;01:01:12;01:01:12;01:11:45;01:11:45;01:11:47;01:11:47;01:11:47;01:11:47;01:11:49;01:11:49;;00:00:00;00:00:02;;00:00:00;00:00:00;00:10:33;00:00:01;00:00:00;00:00:02;00:10:40
12;01:11:49;01:11:49;01:11:49;01:11:49;01:11:52;01:11:52;;;01:11:52;01:11:52;01:11:52;01:11:52;01:22:40;01:22:40;01:22:42;01:22:42;01:22:42;01:22:42;01:22:45;01:22:45;;00:00:00;00:00:02;;00:00:00;00:00:00;00:10:47;00:00:01;00:00:00;00:00:02;00:10:55
13;01:22:45;01:22:45;01:22:45;01:22:45;01:22:48;01:22:48;;;01:22:48;01:22:48;01:22:48;01:22:48;01:33:51;01:33:51;01:33:53;01:33:53;01:33:53;01:33:53;01:33:56;01:33:56;;00:00:00;00:00:02;;00:00:00;00:00:00;00:11:03;00:00:01;00:00:00;00:00:02;00:11:10
14;01:33:56;01:33:56;01:33:56;01:33:56;01:33:58;01:33:58;;;01:33:58;01:33:58;01:33:59;01:33:59;01:45:07;01:45:07;01:45:09;01:45:09;01:45:09;01:45:09;01:45:12;01:45:12;;00:00:00;00:00:02;;00:00:00;00:00:00;00:11:08;00:00:01;00:00:00;00:00:02;00:11:15
15;01:45:12;01:45:12;01:45:12;01:45:12;01:45:15;01:45:15;;;01:45:15;01:45:15;01:45:15;01:45:15;01:56:36;01:56:36;01:56:38;01:56:38;01:56:38;01:56:38;01:56:40;01:56:40;;00:00:00;00:00:03;;00:00:00;00:00:00;00:11:20;00:00:01;00:00:00;00:00:02;00:11:28
16;01:56:40;01:56:40;01:56:40;01:56:40;01:56:43;01:56:43;;;01:56:43;01:56:43;01:56:43;01:56:43;02:08:18;02:08:18;02:08:19;02:08:19;02:08:19;02:08:19;02:08:22;02:08:22;;00:00:00;00:00:02;;00:00:00;00:00:00;00:11:34;00:00:01;00:00:00;00:00:02;00:11:41
17;02:08:22;02:08:22;02:08:22;02:08:22;02:08:25;02:08:25;;;02:08:25;02:08:25;02:08:25;02:08:25;02:20:11;02:20:11;02:20:13;02:20:13;02:20:13;02:20:13;02:20:15;02:20:15;;00:00:00;00:00:02;;00:00:00;00:00:00;00:11:46;00:00:01;00:00:00;00:00:02;00:11:53
18;02:20:15;02:20:15;02:20:15;02:20:15;02:20:18;02:20:18;;;02:20:18;02:20:18;02:20:18;02:20:18;02:32:17;02:32:17;02:32:19;02:32:19;02:32:19;02:32:19;02:32:21;02:32:21;;00:00:00;00:00:02;;00:00:00;00:00:00;00:11:58;00:00:01;00:00:00;00:00:02;00:12:06
19;02:32:21;02:32:21;02:32:21;02:32:21;02:32:25;02:32:25;;;02:32:25;02:32:25;02:32:25;02:32:25;02:44:36;02:44:36;02:44:37;02:44:37;02:44:38;02:44:38;02:44:40;02:44:40;;00:00:00;00:00:03;;00:00:00;00:00:00;00:12:11;00:00:01;00:00:00;00:00:02;00:12:18
20;02:44:40;02:44:40;02:44:40;02:44:40;02:44:43;02:44:43;;;02:44:43;02:44:43;02:44:44;02:44:44;02:56:56;02:56:56;02:56:58;02:56:58;02:56:58;02:56:58;02:57:00;02:57:00;;00:00:00;00:00:03;;00:00:00;00:00:00;00:12:12;00:00:01;00:00:00;00:00:02;00:12:20
21;02:57:00;02:57:00;02:57:01;02:57:01;02:57:04;02:57:04;;;02:57:04;02:57:04;02:57:04;02:57:04;03:09:14;03:09:14;03:09:15;03:09:15;03:09:15;03:09:15;03:09:18;03:09:18;;00:00:00;00:00:03;;00:00:00;00:00:00;00:12:10;00:00:01;00:00:00;00:00:02;00:12:17
22;03:09:18;03:09:18;03:09:18;03:09:18;03:09:22;03:09:22;;;03:09:22;03:09:22;03:09:22;03:09:22;03:21:44;03:21:44;03:21:45;03:21:45;03:21:45;03:21:45;03:21:48;03:21:48;;00:00:00;00:00:03;;00:00:00;00:00:00;00:12:21;00:00:01;00:00:00;00:00:02;00:12:29
23;03:21:48;03:21:48;03:21:48;03:21:48;03:21:52;03:21:52;;;03:21:52;03:21:52;03:21:52;03:21:52;03:34:14;03:34:14;03:34:16;03:34:16;03:34:16;03:34:16;03:34:19;03:34:19;;00:00:00;00:00:03;;00:00:00;00:00:00;00:12:22;00:00:01;00:00:00;00:00:02;00:12:30
24;03:34:19;03:34:19;03:34:19;03:34:19;03:34:22;03:34:22;;;03:34:22;03:34:22;03:34:22;03:34:22;03:46:46;03:46:46;03:46:48;03:46:48;03:46:48;03:46:48;03:46:50;03:46:50;;00:00:00;00:00:03;;00:00:00;00:00:00;00:12:23;00:00:01;00:00:00;00:00:02;00:12:31
25;03:46:50;03:46:50;03:46:50;03:46:50;03:46:54;03:46:54;;;03:46:54;03:46:54;03:46:54;03:46:54;03:59:36;03:59:36;03:59:37;03:59:37;03:59:37;03:59:37;03:59:39;03:59:39;;00:00:00;00:00:03;;00:00:00;00:00:00;00:12:41;00:00:01;00:00:00;00:00:02;00:12:49
26;03:59:40;03:59:40;03:59:40;03:59:40;03:59:43;03:59:43;;;03:59:43;03:59:43;03:59:43;03:59:43;04:12:38;04:12:38;04:12:40;04:12:40;04:12:40;04:12:40;04:12:42;04:12:42;;00:00:00;00:00:03;;00:00:00;00:00:00;00:12:55;00:00:01;00:00:00;00:00:02;00:13:02
27;04:12:42;04:12:42;04:12:42;04:12:42;04:12:46;04:12:46;;;04:12:46;04:12:46;04:12:46;04:12:46;04:25:53;04:25:53;04:25:54;04:25:54;04:25:54;04:25:54;04:25:57;04:25:57;;00:00:00;00:00:03;;00:00:00;00:00:00;00:13:07;00:00:01;00:00:00;00:00:02;00:13:14
28;04:25:57;04:25:57;04:25:57;04:25:57;04:26:00;04:26:00;;;04:26:00;04:26:00;04:26:01;04:26:01;04:39:01;04:39:01;04:39:02;04:39:02;04:39:02;04:39:02;04:39:05;04:39:05;;00:00:00;00:00:03;;00:00:00;00:00:00;00:13:00;00:00:01;00:00:00;00:00:02;00:13:07
29;04:39:05;04:39:05;04:39:05;04:39:05;04:39:08;04:39:08;;;04:39:08;04:39:08;04:39:09;04:39:09;04:52:25;04:52:25;04:52:27;04:52:27;04:52:27;04:52:27;04:52:29;04:52:29;;00:00:00;00:00:03;;00:00:00;00:00:00;00:13:16;00:00:01;00:00:00;00:00:02;00:13:24
30;04:52:29;04:52:29;04:52:29;04:52:29;04:52:33;04:52:33;;;04:52:33;04:52:33;04:52:33;04:52:33;05:06:28;05:06:28;05:06:29;05:06:29;05:06:29;05:06:29;05:06:32;05:06:32;;00:00:00;00:00:03;;00:00:00;00:00:00;00:13:54;00:00:01;00:00:00;00:00:02;00:14:02
31;05:06:32;05:06:32;05:06:32;05:06:32;05:06:36;05:06:36;;;05:06:36;05:06:36;05:06:36;05:06:36;05:20:19;05:20:19;05:20:20;05:20:20;05:20:20;05:20:20;05:20:23;05:20:23;;00:00:00;00:00:03;;00:00:00;00:00:00;00:13:42;00:00:01;00:00:00;00:00:02;00:13:50
32;05:20:23;05:20:23;05:20:23;05:20:23;05:20:26;05:20:26;;;05:20:26;05:20:26;05:20:27;05:20:27;05:33:46;05:33:46;05:33:48;05:33:48;05:33:48;05:33:48;05:33:50;05:33:50;;00:00:00;00:00:03;;00:00:00;00:00:00;00:13:19;00:00:01;00:00:00;00:00:02;00:13:27
33;05:33:50;05:33:50;05:33:50;05:33:50;05:33:54;05:33:54;;;05:33:54;05:33:54;05:33:54;05:33:54;05:47:18;05:47:18;05:47:19;05:47:19;05:47:19;05:47:19;05:47:22;05:47:22;;00:00:00;00:00:03;;00:00:00;00:00:00;00:13:23;00:00:01;00:00:00;00:00:02;00:13:31
34;05:47:22;05:47:22;05:47:22;05:47:22;05:47:26;05:47:26;;;05:47:26;05:47:26;05:47:26;05:47:26;06:01:32;06:01:32;06:01:33;06:01:33;06:01:33;06:01:33;06:01:36;06:01:36;;00:00:00;00:00:03;;00:00:00;00:00:00;00:14:05;00:00:01;00:00:00;00:00:02;00:14:13
35;06:01:36;06:01:36;06:01:36;06:01:36;06:01:39;06:01:39;;;06:01:39;06:01:39;06:01:40;06:01:40;06:15:47;06:15:47;06:15:49;06:15:49;06:15:49;06:15:49;06:15:51;06:15:51;;00:00:00;00:00:03;;00:00:00;00:00:00;00:14:07;00:00:01;00:00:00;00:00:02;00:14:15
36;06:15:51;06:15:51;06:15:51;06:15:51;06:15:55;06:15:55;;;06:15:55;06:15:55;06:15:55;06:15:55;06:30:08;06:30:08;06:30:09;06:30:09;06:30:09;06:30:09;06:30:12;06:30:12;;00:00:00;00:00:03;;00:00:00;00:00:00;00:14:12;00:00:01;00:00:00;00:00:02;00:14:20
37;06:30:12;06:30:12;06:30:12;06:30:12;06:30:15;06:30:15;;;06:30:15;06:30:15;06:30:16;06:30:16;06:44:30;06:44:30;06:44:31;06:44:31;06:44:31;06:44:31;06:44:34;06:44:34;;00:00:00;00:00:03;;00:00:00;00:00:00;00:14:14;00:00:01;00:00:00;00:00:02;00:14:21
