ITERATION;avg. Average Leg distance;avg. Average Trip distance
0;3405.115328731245;8345.491562802707
1;3376.952834943374;8290.022632890152
2;3344.3672152450977;8219.111969676936
3;3306.7103726428804;8137.528319161264
4;3267.6206421602847;8059.475917608737
5;3234.6503316270027;7995.209283068493
6;3199.7726417165154;7924.535841374821
7;3166.9680686416414;7856.020313294513
8;3124.249966764002;7758.342855495942
9;3084.5267165035148;7673.905214971779
10;3049.958806718555;7601.551800492564
11;3013.919786699701;7526.696153180173
12;2985.3020964181087;7465.705015513865
13;2952.3385807355367;7389.8668295266925
14;2924.8075000953545;7326.685587288166
15;2886.0327682848224;7239.260320348324
16;2858.914537313521;7180.719789116945
17;2827.984664743746;7118.086277273178
18;2806.644328103533;7080.658786067029
19;2778.740724868593;7025.467305890498
20;2753.056299144119;6968.065658889038
21;2726.545460432521;6911.880692931071
22;2704.0815250285636;6855.91398576308
23;2681.11003543066;6799.852721961314
24;2657.7701373078407;6741.749770595205
25;2637.4237195347787;6705.059691352778
26;2620.3967486155916;6667.414700105993
27;2597.3035445205373;6613.063491057322
28;2572.3506084015416;6548.767730294299
29;2559.6961291659713;6521.911029556797
30;2547.5331880004446;6496.187834744351
31;2523.2627049400526;6436.409481372118
32;2498.0262090491597;6382.11376615342
33;2484.2878254480934;6359.419223640972
34;2466.775262025266;6321.671898333456
35;2449.6405036567803;6284.358234046903
36;2437.9448997880877;6264.835859296603
37;2430.94746216785;6247.440977366136
38;2415.826745389531;6217.613884600383
39;2404.541895378815;6197.085032077749
40;2391.6232173326193;6171.66489506731
41;2380.996945521068;6144.289866365082
42;2366.2014990182015;6110.194784581997
43;2347.102546131491;6060.719246727249
44;2334.214914597022;6028.753225662932
45;2322.14783306586;6002.399074632722
46;2315.467729022311;5991.401302137059
47;2306.649726114304;5972.148921819323
48;2292.462414130868;5935.853086186559
49;2280.6521536375026;5908.800680882699
50;2280.016969130089;5909.397866814512
